origen,fecha,momento,campo,lectura,desambiguacion
orig27,2026-07-27,mediodia,CANINSULIN dosis,"— sin dosis, no_dado",no dado por glucemia baja
orig27,2026-07-30,ayuno,nota,"7,4kg bajo jueves",peso
orig32,2026-08-13,mediodia,glucosa valor,RESUELTO: vale 63,medicion extra 63 y 65 [CSV: solo 63 confirmado]
orig32,2026-08-13,medianoche,glucosa valor,326 con tachón previo,326
orig34,2026-08-20,ayuno,nota,4:30 142 circulado jueves,medicion extra a las 4:30 142
orig34,2026-08-19,mediodia,SILIMARINA,"DIARREA VOMITO ocupa celda, ambiguo","no dado, todavia no prescripto. Diarrea y vomito"
orig34,2026-08-20,mediodia,SILIMARINA,"DIARREA —, ambiguo","no dado, todavia no prescripto. diarrea"
orig34,2026-08-19,medianoche,CANINSULIN dosis,"0,20 vs 0,22 header",0.20
orig36,2026-08-26,medianoche,CANINSULIN dosis,"0,20 vs 0,18",0.20
orig36,2026-08-24,mediodia,METRONIDAZOL,"lunes vacío, omitido","no prescripto aun, no dado"
orig36,2026-08-27,ayuno,nota,"7,4kg bajo jueves",peso
orig38,2026-08-31,mediodia,METRONIDAZOL,"lunes vacío, omitido",no dado
orig40,2026-09-08,medianoche,glucosa valor,291 + 108 y 23:26 sobreescrito,"medicion extra a las 22:26 189, media noche 291 [CSV: fila 22:26 189 agregada; 291 ya estaba]"
orig40,2026-09-13,medianoche,glucosa valor,"vacío sin número, fila omitida",aun no medido
orig40,2026-09-09,ayuno,DIPIRONA,1/4 DIPI abreviatura parcial,¼ comprimido de dipirona
orig40,2026-09-10,medianoche,DIPIRONA,20hs 1/4 DIPI sobre miércoles,¼ comprimido de dipirona
orig40,2026-09-12,medianoche,DIPIRONA,22hs DIPI? sobre sábado,¼ comprimido de dipirona
orig40,2026-09-11,medianoche,CANINSULIN dosis,"0,2 tachado, ambiguo dosis","Dado 0,2"
orig29,2026-08-09,ayuno,nota,"99 bajo domingo, ilegible",medicion extra a la mañana [CSV: fila ayuno 99 agregada]
orig14,2026-06-15,mediodia,FECHA,"Lun header vacío, inferido 15/6",15/06/26
orig14,2026-06-16,mediodia,FECHA,"Mar header vacío, inferido 16/6",16/06/26
orig14,2026-06-18,mediodia,PECHUGA,"RC + garabato, ambiguo","royal canin diabetic en vez de pechuga, porque no tenía [CSV: ROYAL_CANIN 100 dado]"
orig22,2026-07-13,mediodia,CALCIVET dosis,"0,5 letra fina","Calcivet 0,5g"
orig22,2026-07-13,mediodia,TAURINA dosis,"0,250 vs 0,2S0","0,250g"
orig24,2026-07-25,mediodia,TAURINA,sábado — vs vacío,no dado taurina
orig28,2026-08-03/09,mediodia,ingrediente,RESUELTO: siempre F.M. 1 (fórmula magistral),formula magistral 1 capsula
orig33,2026-08-17/23,,ingrediente,ZANAHORIA cursiva,zanahoria 25g
orig33,2026-08-17/22,mediodia,ZANAHORIA estado,vacío gris vs —,"no dado, todavia no prescripto."
orig37,2026-08-31/09-06,,SOPA_MORO,sin dosis escrita,"sopa de moro (50% zanahoria hervida en 100% agua, licuado) 3 cucharadas. Para tratar diarrea [CSV: dosis 3 cucharadas en filas dado]"
orig39,2026-09-09,mediodia,PECHUGA estado,"RESUELTO: comió 125g pechuga (dieta nueva, sin cerdo aún)",correcto
orig39,2026-09-08,mediodia,ZAPALLITO estado,X con tachón,"no dado zapallito, por sospecha que empeore diarrea"
orig39,2026-09-13,mediodia,CALCIVET estado,X + asterisco/borrón,dado 
orig39,2026-09-12,medianoche,ARROZ estado,"/ fino vs —, ambiguo","no dado, por cambio de dieta"
orig39,2026-09-13,medianoche,todas,"celdas vacías, sin registro",sin registro aun
orig39,2026-09-08/12,,MANZANA/BONIATO/CALDO dosis,20 vs 25 vs 125 borrosa,"manzana 20g, boniato 25g, cerdo 125g"
orig30,2026-08-09,18:00,notas,MIEL con corrección blanqueada,miel por hipoglucemia
orig30,2026-08-08/10,,fecha,sábado 8/8 domingo 9/8 lateral vertical,Sabado 8/8/26 domingo 9/8/26
orig39,2026-09-07/13,,CERDO vs CALDO,RESUELTO: CALDO era CERDO 125 mal leído, fila agregada vía rename
