fecha,parametro,valor,unidad,ref_min,ref_max,origen
2026-02-18,KPTT,13,seg,,21,LAB12
2026-02-18,LEUCOCITOS,18000,/mm3,6000,16000,LAB12
2026-02-18,LINFOCITOS_PORC,10,%,12,35,LAB12
2026-02-18,MCHC,34,%,30,35,LAB12
2026-02-18,MONOCITOS_PORC,7,%,3,10,LAB12
2026-02-18,NEUTROFILOS_CAYADO_PORC,2,%,0,3,LAB12
2026-02-18,NEUTROFILOS_SEGMENTADOS_PORC,81,%,60,77,LAB12
2026-02-18,PLAQUETAS,934000,/mm3,150000,600000,LAB12
2026-02-18,RDW,18,,,,LAB12
2026-02-18,TIEMPO_PROTROMBINA,5,seg,,8,LAB12
2026-02-18,VCM,71,fl,40,70,LAB12
2026-02-19,BACTERIURIA,--,,,,LAB09
2026-02-19,CELULAS_SEDIMENTO,Escasas planas aisladas,,,,LAB09
2026-02-19,CILINDROS,--,,,,LAB09
2026-02-19,CRISTALES_ORINA,Uratos de sodio amorfos,,,,LAB09
2026-02-19,HB_MIOGLOBULINA_ORINA,--,,,,LAB09
2026-02-19,HEMATIES_SEDIMENTO,--,,,,LAB09
2026-02-19,LEUCOCITOS_SEDIMENTO,Escasos 1 a 3 por campo,,,,LAB09
2026-02-19,ASPECTO_ORINA,Limpido,,,,LAB10
2026-02-19,BILIRRUBINA_ORINA,--,,,,LAB10
2026-02-19,CETONAS_ORINA,--,,,,LAB10
2026-02-19,COLOR_ORINA,Ambar claro,,,,LAB10
2026-02-19,CORTISOL_ORINA,4620.0,,,,LAB10
2026-02-19,CREATININA_ORINA,40.39,,,,LAB10
2026-02-19,DENSIDAD_ORINA,1010,,,,LAB10
2026-02-19,GLUCOSA_ORINA,357,,,,LAB10
2026-02-19,PH_ORINA,5,,,,LAB10
2026-02-19,PROTEINAS_ORINA,--,,,,LAB10
2026-02-19,ALBUMINA,3.2,g/dl,2.5,4,LAB13
2026-02-19,ALT_GPT,533,U/l,12,94,LAB13
2026-02-19,AST_GOT,154,U/l,9,56,LAB13
2026-02-19,CLORO,99,mmol/l,108,128,LAB13
2026-02-19,COLESTEROL,279,mg/dl,100,299,LAB13
2026-02-19,CREATININA,1.2,mg/dl,0.5,1.5,LAB13
2026-02-19,FAL,1626,UI/l,90,250,LAB13
2026-02-19,GGT,27,U/l,,10,LAB13
2026-02-19,POTASIO,4.7,mmol/l,3.8,5.1,LAB13
2026-02-19,PROTEINAS_TOTALES,7.2,g/dl,5.5,7.5,LAB13
2026-02-19,SODIO,143,mmol/l,146,159,LAB13
2026-02-19,TRIGLICERIDOS,387,mg/dl,17,200,LAB13
2026-02-19,UREA,51,mg/dl,10,60,LAB13
2026-02-20,CORTISOL_PLASMATICO,2.46,ug/dl,1,6,LAB11
2026-02-20,T4_LIBRE,0.17,ng/dl,0.8,1.8,LAB11
2026-02-20,T4_TOTAL,1.20,ug/dl,1.0,4.0,LAB11
2026-02-20,TSH,0.65,ng/ml,0.03,0.40,LAB11
2026-05-04,EOSINOFILOS_ABS,0.65,10^9/L,0.04,1.62,LAB15
2026-05-04,EOSINOFILOS_PORC,4.0,%,0.5,10.0,LAB15
2026-05-04,ERITROCITOS,1.66,10^12/L,5.10,8.50,LAB15
2026-05-04,HCM,29.3,pg,20.0,27.0,LAB15
2026-05-04,HEMATOCRITO,12.9,%,33.0,56.0,LAB15
2026-05-04,HEMOGLOBINA,4.9,g/dL,11.0,19.0,LAB15
2026-05-04,LEUCOCITOS,16.22,10^9/L,6.00,17.00,LAB15
2026-05-04,LINFOCITOS_ABS,2.95,10^9/L,0.83,4.91,LAB15
2026-05-04,LINFOCITOS_PORC,18.2,%,12.0,33.0,LAB15
2026-05-04,MCHC,378,g/L,300,380,LAB15
2026-05-04,MONOCITOS_ABS,2.89,10^9/L,0.14,1.97,LAB15
2026-05-04,MONOCITOS_PORC,17.8,%,2.0,13.0,LAB15
2026-05-04,MPV,15.3,fL,8.0,14.1,LAB15
2026-05-04,NEUTROFILOS_ABS,9.73,10^9/L,3.62,12.30,LAB15
2026-05-04,NEUTROFILOS_PORC,60.0,%,52.0,81.0,LAB15
2026-05-04,NLR,3.30,,,,LAB15
2026-05-04,PCT,5.40,mL/L,0.90,5.80,LAB15
2026-05-04,PDW_CV,12.4,%,13.3,18.5,LAB15
2026-05-04,PDW_SD,24.5,fL,12.0,17.5,LAB15
2026-05-04,PLAQUETAS,354,10^9/L,117,490,LAB15
2026-05-04,PLAQUETAS_GRANDES_ABS,244,10^9/L,45,170,LAB15
2026-05-04,PLAQUETAS_GRANDES_PORC,69.0,%,20.0,60.0,LAB15
2026-05-04,PLR,120.00,,,,LAB15
2026-05-04,RDW_CV,19.0,%,12.5,17.2,LAB15
2026-05-04,RDW_SD,60.5,fL,33.2,46.3,LAB15
2026-05-04,VCM,77.5,fL,60.0,76.0,LAB15
2026-05-07,BASOFILOS_PORC,0,%,,,LAB04
2026-05-07,EOSINOFILOS_PORC,0,%,,,LAB04
2026-05-07,ERITROCITOS,2540000,/mm3,3900000,5200000,LAB04
2026-05-07,HCM,31.50,pg,,,LAB04
2026-05-07,HEMATOCRITO,23.50,%,36,50,LAB04
2026-05-07,HEMOGLOBINA,8.00,g/dl,12.0,16.5,LAB04
2026-05-07,LEUCOCITOS,14400,/mm3,4000,10000,LAB04
2026-05-07,LINFOCITOS_ABS,2304,/mm3,,,LAB04
2026-05-07,LINFOCITOS_PORC,16,%,,,LAB04
2026-05-07,MCHC,34.04,%,,,LAB04
2026-05-07,MONOCITOS_ABS,288,/mm3,,,LAB04
2026-05-07,MONOCITOS_PORC,2,%,,,LAB04
2026-05-07,NEUTROFILOS_SEGMENTADOS_ABS,11808,/mm3,,,LAB04
2026-05-07,NEUTROFILOS_SEGMENTADOS_PORC,82,%,,,LAB04
2026-05-07,RETICULOCITOS,5.0,%,0.5,1.5,LAB04
2026-05-07,VALOR_GLOBULAR,1.14,,,,LAB04
2026-05-07,VCM,92.52,fL,,,LAB04
2026-06-02,ALBUMINA,3.9,g%,,4.8,LAB05
2026-06-02,ALT_GPT,149,U/l,,41,LAB05
2026-06-02,BILIRRUBINA_DIRECTA,0.10,mg/L,,2,LAB05
2026-06-02,BILIRRUBINA_INDIRECTA,0.90,mg/L,,8,LAB05
2026-06-02,BILIRRUBINA_TOTAL,1.0,mg/L,,10,LAB05
2026-06-02,CALCIO,8.8,mg/dl,8.5,11.0,LAB05
2026-06-02,CALCIO_IONICO,3.5,mg/dl,4.25,5.25,LAB05
2026-06-02,COLESTEROL,309,mg/dl,150,200,LAB05
2026-06-02,CORTISOL_ORINA,0.7,ug/dl,,,LAB05
2026-06-02,CREATININA,9.94,mg/L,7,14,LAB05
2026-06-02,CREATININA_ORINA,129.5,mg/dl,,,LAB05
2026-06-02,DENSIDAD_ORINA,1025,,1025,,LAB05
2026-06-02,ERITROCITOS,5360000,/mm3,3900000,5200000,LAB05
2026-06-02,FAL,136,UI/l,0,85,LAB05
2026-06-02,FOSFORO,7.0,mg%,,,LAB05
2026-06-02,HCM,25.19,pg,,,LAB05
2026-06-02,HEMATOCRITO,40.50,%,36,50,LAB05
2026-06-02,HEMOGLOBINA,13.50,g/dl,12.0,16.5,LAB05
2026-06-02,LEUCOCITOS,7280,/mm3,4000,10000,LAB05
2026-06-02,LINFOCITOS_ABS,1310,/mm3,,,LAB05
2026-06-02,LINFOCITOS_PORC,18,%,,,LAB05
2026-06-02,MCHC,33.33,%,,,LAB05
2026-06-02,MONOCITOS_ABS,146,/mm3,,,LAB05
2026-06-02,MONOCITOS_PORC,2,%,,,LAB05
2026-06-02,NEUTROFILOS_SEGMENTADOS_ABS,5824,/mm3,,,LAB05
2026-06-02,NEUTROFILOS_SEGMENTADOS_PORC,80,%,,,LAB05
2026-06-02,POTASIO,5.3,mEq/l,3.5,5.5,LAB05
2026-06-02,PROTEINAS_ORINA,220,mg/dl,,,LAB05
2026-06-02,PROTEINAS_TOTALES,8.2,g%,6.1,7.9,LAB05
2026-06-02,SODIO,141,mEq/l,135,145,LAB05
2026-06-02,T4_EFECTIVA,1.8,ng/dl,0.8,1.8,LAB05
2026-06-02,T4_TOTAL,1.8,ug/dl,5.3,11.5,LAB05
2026-06-02,TRIGLICERIDOS,819,mg/dl,,160,LAB05
2026-06-02,UPC,1.7,,0.5,0.5,LAB05
2026-06-02,UREA,42,mg/dl,10,45,LAB05
2026-06-02,VALOR_GLOBULAR,0.80,,,,LAB05
2026-06-02,VCM,75.56,fL,,,LAB05
2026-08-03,ALBUMINA,3.39,g/dl,2.5,4,LAB02
2026-08-03,ALT_GPT,344,UI/l,10,60,LAB02
2026-08-03,AST_GOT,56,UI/l,10,60,LAB02
2026-08-03,BASOFILOS_ABS,0,/mm3,0,50,LAB02
2026-08-03,BASOFILOS_PORC,0,%,,,LAB02
2026-08-03,CLORO,103,mEq/L,105,129,LAB02
2026-08-03,COLESTEROL,281,mg/dL,150,280,LAB02
2026-08-03,CREATININA,1.18,mg/dL,0.5,1.5,LAB02
2026-08-03,CREATININA_ORINA,118.10,mg/dL,70,150,LAB02
2026-08-03,DENSIDAD_ORINA,1035,g/L,1035,,LAB02
2026-08-03,EOSINOFILOS_ABS,194,/mm3,100,1250,LAB02
2026-08-03,EOSINOFILOS_PORC,2,%,,,LAB02
2026-08-03,ERITROCITOS,6.25,mill/mm3,5.5,8.5,LAB02
2026-08-03,FAL,283,UI/l,,300,LAB02
2026-08-03,FOSFORO,6.30,mg/dL,3,6,LAB02
2026-08-03,GLOBULINA,4.45,g/dl,2.7,4.4,LAB02
2026-08-03,GLUCOSA_ORINA,232,mg/dL,,,LAB02
2026-08-03,HCM,23.50,pg,19,24,LAB02
2026-08-03,HEMATOCRITO,44.10,%,37,55,LAB02
2026-08-03,HEMOGLOBINA,14.70,g/dl,12,19,LAB02
2026-08-03,LEUCOCITOS,9700,/mm3,6000,17000,LAB02
2026-08-03,LINFOCITOS_ABS,2328,/mm3,1000,4800,LAB02
2026-08-03,LINFOCITOS_PORC,24,%,,,LAB02
2026-08-03,MCHC,33.30,%,30,36,LAB02
2026-08-03,MONOCITOS_ABS,388,/mm3,150,1350,LAB02
2026-08-03,MONOCITOS_PORC,4,%,,,LAB02
2026-08-03,NEUTROFILOS_CAYADO_ABS,0,/mm3,0,300,LAB02
2026-08-03,NEUTROFILOS_CAYADO_PORC,0,%,,,LAB02
2026-08-03,NEUTROFILOS_SEGMENTADOS_ABS,6790,/mm3,3000,11500,LAB02
2026-08-03,NEUTROFILOS_SEGMENTADOS_PORC,70,%,,,LAB02
2026-08-03,PH_ORINA,6.00,,6,7.5,LAB02
2026-08-03,PLAQUETAS,194000,/mm3,160000,500000,LAB02
2026-08-03,POTASIO,5.5,mEq/L,3.8,5.8,LAB02
2026-08-03,PROTEINAS_ORINA,6.26,mg/dL,,,LAB02
2026-08-03,PROTEINAS_TOTALES,7.84,g/dl,5.5,7.5,LAB02
2026-08-03,RELACION_A_G,0.76,,0.6,1.1,LAB02
2026-08-03,RELACION_NA_K,25.64,,27,40,LAB02
2026-08-03,SODIO,141,mEq/L,140,155,LAB02
2026-08-03,TRIGLICERIDOS,277,mg/dL,10,150,LAB02
2026-08-03,UPC,0.05,,,0.2,LAB02
2026-08-03,UREA,95,mg/dL,20,50,LAB02
2026-08-03,VCM,70.60,fl,60,77,LAB02
2026-08-03,ALBUMINA,3.39,g/dl,2.5,4,LAB03
2026-08-03,ALT_GPT,344,UI/l,10,60,LAB03
2026-08-03,AST_GOT,56,UI/l,10,60,LAB03
2026-08-03,BASOFILOS_ABS,0,/mm3,0,50,LAB03
2026-08-03,BASOFILOS_PORC,0,%,,,LAB03
2026-08-03,CLORO,103,mEq/L,105,129,LAB03
2026-08-03,COLESTEROL,281,mg/dL,150,280,LAB03
2026-08-03,CORTISOL_ORINA,24.40,ug/l,,,LAB03
2026-08-03,CREATININA,1.18,mg/dL,0.5,1.5,LAB03
2026-08-03,CREATININA_ORINA,118.10,mg/dL,70,150,LAB03
2026-08-03,CREATININA_ORINA_MGPC,107,mg%,,,LAB03
2026-08-03,DENSIDAD_ORINA,1035,g/L,1035,,LAB03
2026-08-03,EOSINOFILOS_ABS,194,/mm3,100,1250,LAB03
2026-08-03,EOSINOFILOS_PORC,2,%,,,LAB03
2026-08-03,ERITROCITOS,6.25,mill/mm3,5.5,8.5,LAB03
2026-08-03,FAL,283,UI/l,,300,LAB03
2026-08-03,FOSFORO,6.30,mg/dL,3,6,LAB03
2026-08-03,GLOBULINA,4.45,g/dl,2.7,4.4,LAB03
2026-08-03,GLUCOSA_ORINA,232,mg/dL,,,LAB03
2026-08-03,HCM,23.50,pg,19,24,LAB03
2026-08-03,HEMATOCRITO,44.10,%,37,55,LAB03
2026-08-03,HEMOGLOBINA,14.70,g/dl,12,19,LAB03
2026-08-03,LEUCOCITOS,9700,/mm3,6000,17000,LAB03
2026-08-03,LINFOCITOS_ABS,2328,/mm3,1000,4800,LAB03
2026-08-03,LINFOCITOS_PORC,24,%,,,LAB03
2026-08-03,MCHC,33.30,%,30,36,LAB03
2026-08-03,MONOCITOS_ABS,388,/mm3,150,1350,LAB03
2026-08-03,MONOCITOS_PORC,4,%,,,LAB03
2026-08-03,NEUTROFILOS_CAYADO_ABS,0,/mm3,0,300,LAB03
2026-08-03,NEUTROFILOS_CAYADO_PORC,0,%,,,LAB03
2026-08-03,NEUTROFILOS_SEGMENTADOS_ABS,6790,/mm3,3000,11500,LAB03
2026-08-03,NEUTROFILOS_SEGMENTADOS_PORC,70,%,,,LAB03
2026-08-03,PH_ORINA,6.00,,6,7.5,LAB03
2026-08-03,PLAQUETAS,194000,/mm3,160000,500000,LAB03
2026-08-03,POTASIO,5.5,mEq/L,3.8,5.8,LAB03
2026-08-03,PROTEINAS_ORINA,6.26,mg/dL,,,LAB03
2026-08-03,PROTEINAS_TOTALES,7.84,g/dl,5.5,7.5,LAB03
2026-08-03,RELACION_A_G,0.76,,0.6,1.1,LAB03
2026-08-03,RELACION_CORTISOL_CREATININA,22.80,, ,40,LAB03
2026-08-03,RELACION_NA_K,25.64,,27,40,LAB03
2026-08-03,SODIO,141,mEq/L,140,155,LAB03
2026-08-03,T4_LIBRE,0.70,ng/dl,0.8,2.5,LAB03
2026-08-03,TRIGLICERIDOS,277,mg/dL,10,150,LAB03
2026-08-03,UPC,0.05,,,0.2,LAB03
2026-08-03,UREA,95,mg/dL,20,50,LAB03
2026-08-03,VCM,70.60,fl,60,77,LAB03
desconocida,ACIDOS_BILIARES,43,umol/L,,25,LAB14
desconocida,ACIDO_URICO,0.1,mg/dL,,1,LAB14
desconocida,ALBUMINA,2.7,g/dL,2.2,4,LAB14
desconocida,ALT_GPT,160,U/L,15,111,LAB14
desconocida,AMILASA,1163,U/L,500,1500,LAB14
desconocida,AST_GOT,51,U/L,10,60,LAB14
desconocida,BILIRRUBINA_TOTAL,0.3,mg/dL,,0.9,LAB14
desconocida,CALCIO,11.3,mg/dL,9.5,13.6,LAB14
desconocida,CALCIO_CORREGIDO,12.2,mg/dL,,,LAB14
desconocida,CALCIO_FOSFORO,42,mg2/dL2,,,LAB14
desconocida,CK,287,U/L,10,200,LAB14
desconocida,COCIENTE_AST_ALT,0.3,,,,LAB14
desconocida,COCIENTE_UREA_CREAT,75.7,,,,LAB14
desconocida,COLESTEROL,259,mg/dL,108,290,LAB14
desconocida,CREATININA,1,mg/dL,0.4,1.7,LAB14
desconocida,FAL,386,U/L,9,219,LAB14
desconocida,FOSFORO,3.81,mg/dL,2.51,6.82,LAB14
desconocida,GGT,2,U/L,,11,LAB14
desconocida,GLOBULINA,5.6,g/dL,2,4.3,LAB14
desconocida,GLUCOSA,212,mg/dL,81,140,LAB14
desconocida,LDH,546,U/L,20,495,LAB14
desconocida,LIPASA,259,U/L,,270,LAB14
desconocida,PROTEINAS_TOTALES,8.3,g/dL,4.8,7.8,LAB14
desconocida,RELACION_A_G,0.48,,,,LAB14
desconocida,TRIGLICERIDOS,196,mg/dL,,146,LAB14
desconocida,UREA,77.5,mg/dL,11.4,55.9,LAB14
