fecha,momento,ingrediente,dosis,estado,origen
2026-06-23,mediodia,ZAPALLITO,25,dado,orig16
2026-06-23,mediodia,JUREL,25,dado,orig16
2026-06-23,mediodia,CALCIVET,,dado,orig16
2026-06-23,mediodia,TAURINA,,dado,orig16
2026-06-23,mediodia,FM,,dado,orig16
2026-06-23,medianoche,PECHUGA,100,dado,orig16
2026-06-23,medianoche,MUSLO,25,dado,orig16
2026-06-23,medianoche,ARROZ,25,dado,orig16
2026-06-23,medianoche,ZAPALLITO,25,dado,orig16
2026-06-23,medianoche,CALCIVET,,dado,orig16
2026-06-24,mediodia,PECHUGA,100,dado,orig16
2026-06-24,mediodia,MUSLO,25,dado,orig16
2026-06-24,mediodia,ARROZ,25,dado,orig16
2026-06-24,mediodia,ZAPALLITO,25,dado,orig16
2026-06-24,mediodia,JUREL,25,no_dado,orig16
2026-06-24,mediodia,CALCIVET,,dado,orig16
2026-06-24,mediodia,TAURINA,,dado,orig16
2026-06-24,mediodia,FM,,dado,orig16
2026-06-24,medianoche,PECHUGA,100,dado,orig16
2026-06-24,medianoche,MUSLO,25,dado,orig16
2026-06-24,medianoche,ARROZ,25,dado,orig16
2026-06-24,medianoche,ZAPALLITO,25,dado,orig16
2026-06-24,medianoche,CALCIVET,,dado,orig16
2026-06-25,mediodia,PECHUGA,100,dado,orig16
2026-06-25,mediodia,MUSLO,25,dado,orig16
2026-06-25,mediodia,ARROZ,25,dado,orig16
2026-06-25,mediodia,ZAPALLITO,25,dado,orig16
2026-06-25,mediodia,JUREL,25,dado,orig16
2026-06-25,mediodia,CALCIVET,,dado,orig16
2026-06-25,mediodia,TAURINA,,dado,orig16
2026-06-25,mediodia,FM,,dado,orig16
2026-06-25,medianoche,PECHUGA,100,dado,orig16
2026-06-25,medianoche,MUSLO,25,dado,orig16
2026-06-25,medianoche,ARROZ,25,dado,orig16
2026-06-25,medianoche,ZAPALLITO,25,dado,orig16
2026-06-25,medianoche,CALCIVET,,dado,orig16
2026-06-26,mediodia,PECHUGA,100,dado,orig16
2026-06-26,mediodia,MUSLO,25,dado,orig16
2026-06-26,mediodia,ARROZ,25,dado,orig16
2026-06-26,mediodia,ZAPALLITO,25,dado,orig16
2026-06-26,mediodia,JUREL,25,no_dado,orig16
2026-06-26,mediodia,CALCIVET,,dado,orig16
2026-06-26,mediodia,TAURINA,,dado,orig16
2026-06-26,mediodia,FM,,dado,orig16
2026-06-26,medianoche,PECHUGA,100,dado,orig16
2026-06-26,medianoche,MUSLO,25,dado,orig16
2026-06-26,medianoche,ARROZ,25,dado,orig16
2026-06-26,medianoche,ZAPALLITO,25,dado,orig16
2026-06-26,medianoche,CALCIVET,,dado,orig16
2026-06-27,mediodia,PECHUGA,100,dado,orig16
2026-06-27,mediodia,MUSLO,25,dado,orig16
2026-06-27,mediodia,ARROZ,25,dado,orig16
2026-06-27,mediodia,ZAPALLITO,25,dado,orig16
2026-06-27,mediodia,JUREL,25,dado,orig16
2026-06-27,mediodia,CALCIVET,,dado,orig16
2026-06-27,mediodia,TAURINA,,dado,orig16
2026-06-27,mediodia,FM,,dado,orig16
2026-06-27,medianoche,PECHUGA,100,dado,orig16
2026-06-27,medianoche,MUSLO,25,dado,orig16
2026-06-27,medianoche,ARROZ,25,dado,orig16
2026-06-27,medianoche,ZAPALLITO,25,dado,orig16
2026-06-27,medianoche,CALCIVET,,dado,orig16
2026-06-28,mediodia,PECHUGA,100,dado,orig16
2026-06-28,mediodia,MUSLO,25,dado,orig16
2026-06-28,mediodia,ARROZ,25,dado,orig16
2026-06-28,mediodia,ZAPALLITO,25,dado,orig16
2026-06-28,mediodia,JUREL,25,no_dado,orig16
2026-06-28,mediodia,CALCIVET,,dado,orig16
2026-06-28,mediodia,TAURINA,,dado,orig16
2026-06-28,mediodia,FM,,dado,orig16
2026-06-28,medianoche,PECHUGA,100,dado,orig16
2026-06-28,medianoche,MUSLO,25,dado,orig16
2026-06-28,medianoche,ARROZ,25,dado,orig16
2026-06-28,medianoche,ZAPALLITO,25,dado,orig16
2026-06-28,medianoche,CALCIVET,,dado,orig16
2026-06-29,mediodia,PECHUGA,100,dado,orig18
2026-06-29,mediodia,MUSLO,25,dado,orig18
2026-06-29,mediodia,ARROZ,25,dado,orig18
2026-06-29,mediodia,ZAPALLITO,25,dado,orig18
2026-06-29,mediodia,JUREL,25,dado,orig18
2026-06-29,mediodia,CALCIVET,,dado,orig18
2026-06-29,mediodia,TAURINA,,dado,orig18
2026-06-29,mediodia,FM,,dado,orig18
2026-06-29,medianoche,PECHUGA,100,dado,orig18
2026-06-29,medianoche,MUSLO,25,dado,orig18
2026-06-29,medianoche,ARROZ,25,dado,orig18
2026-06-29,medianoche,ZAPALLITO,25,dado,orig18
2026-06-29,medianoche,CALCIVET,,dado,orig18
2026-06-30,mediodia,PECHUGA,100,dado,orig18
2026-06-30,mediodia,MUSLO,25,dado,orig18
2026-06-30,mediodia,ARROZ,25,dado,orig18
2026-06-30,mediodia,ZAPALLITO,25,dado,orig18
2026-06-30,mediodia,JUREL,25,no_dado,orig18
2026-06-30,mediodia,CALCIVET,,dado,orig18
2026-06-30,mediodia,TAURINA,,dado,orig18
2026-06-30,mediodia,FM,,dado,orig18
2026-06-30,medianoche,PECHUGA,100,dado,orig18
2026-06-30,medianoche,MUSLO,25,dado,orig18
2026-06-30,medianoche,ARROZ,25,no_dado,orig18
2026-06-30,medianoche,ZAPALLITO,25,dado,orig18
2026-06-30,medianoche,CALCIVET,,dado,orig18
2026-07-01,mediodia,PECHUGA,100,dado,orig18
2026-07-01,mediodia,MUSLO,25,dado,orig18
2026-07-01,mediodia,ARROZ,25,no_dado,orig18
2026-07-01,mediodia,ZAPALLITO,25,dado,orig18
2026-07-01,mediodia,JUREL,25,dado,orig18
2026-07-01,mediodia,CALCIVET,,dado,orig18
2026-07-01,mediodia,TAURINA,,dado,orig18
2026-07-01,mediodia,FM,,dado,orig18
2026-07-01,medianoche,PECHUGA,100,dado,orig18
2026-07-01,medianoche,MUSLO,25,dado,orig18
2026-07-01,medianoche,ARROZ,25,no_dado,orig18
2026-07-01,medianoche,ZAPALLITO,25,dado,orig18
2026-07-01,medianoche,CALCIVET,,dado,orig18
2026-07-02,mediodia,PECHUGA,100,dado,orig18
2026-07-02,mediodia,MUSLO,25,dado,orig18
2026-07-02,mediodia,ARROZ,25,dado,orig18
2026-07-02,mediodia,ZAPALLITO,25,dado,orig18
2026-07-02,mediodia,JUREL,25,no_dado,orig18
2026-07-02,mediodia,CALCIVET,,dado,orig18
2026-07-02,mediodia,TAURINA,,dado,orig18
2026-07-02,mediodia,FM,,dado,orig18
2026-07-02,medianoche,PECHUGA,100,dado,orig18
2026-07-02,medianoche,MUSLO,25,dado,orig18
2026-07-02,medianoche,ARROZ,25,dado,orig18
2026-07-02,medianoche,ZAPALLITO,25,dado,orig18
2026-07-02,medianoche,CALCIVET,,dado,orig18
2026-07-03,mediodia,PECHUGA,100,dado,orig18
2026-07-03,mediodia,MUSLO,25,dado,orig18
2026-07-03,mediodia,ARROZ,25,dado,orig18
2026-07-03,mediodia,ZAPALLITO,25,dado,orig18
2026-07-03,mediodia,JUREL,25,dado,orig18
2026-07-03,mediodia,CALCIVET,,dado,orig18
2026-07-03,mediodia,TAURINA,,dado,orig18
2026-07-03,mediodia,FM,,dado,orig18
2026-07-03,medianoche,PECHUGA,100,dado,orig18
2026-07-03,medianoche,MUSLO,25,dado,orig18
2026-07-03,medianoche,ARROZ,25,dado,orig18
2026-07-03,medianoche,ZAPALLITO,25,dado,orig18
2026-07-03,medianoche,CALCIVET,,dado,orig18
2026-07-04,mediodia,PECHUGA,100,dado,orig18
2026-07-04,mediodia,MUSLO,25,dado,orig18
2026-07-04,mediodia,ARROZ,25,dado,orig18
2026-07-04,mediodia,ZAPALLITO,25,dado,orig18
2026-07-04,mediodia,JUREL,25,no_dado,orig18
2026-07-04,mediodia,CALCIVET,,dado,orig18
2026-07-04,mediodia,TAURINA,,dado,orig18
2026-07-04,mediodia,FM,,dado,orig18
2026-07-04,medianoche,PECHUGA,100,dado,orig18
2026-07-04,medianoche,MUSLO,25,dado,orig18
2026-07-04,medianoche,ARROZ,25,dado,orig18
2026-07-04,medianoche,ZAPALLITO,25,dado,orig18
2026-07-04,medianoche,CALCIVET,,dado,orig18
2026-07-05,mediodia,PECHUGA,100,dado,orig18
2026-07-05,mediodia,MUSLO,25,dado,orig18
2026-07-05,mediodia,ARROZ,25,dado,orig18
2026-07-05,mediodia,ZAPALLITO,25,dado,orig18
2026-07-05,mediodia,JUREL,25,dado,orig18
2026-07-05,mediodia,CALCIVET,,dado,orig18
2026-07-05,mediodia,TAURINA,,dado,orig18
2026-07-05,mediodia,FM,,dado,orig18
2026-07-05,medianoche,PECHUGA,100,dado,orig18
2026-07-05,medianoche,MUSLO,25,dado,orig18
2026-07-05,medianoche,ARROZ,25,dado,orig18
2026-07-05,medianoche,ZAPALLITO,25,dado,orig18
2026-07-05,medianoche,CALCIVET,,dado,orig18
2026-07-06,mediodia,PECHUGA,100,dado,orig20
2026-07-06,mediodia,MUSLO,25,dado,orig20
2026-07-06,mediodia,ARROZ,25,dado,orig20
2026-07-06,mediodia,ZAPALLITO,25,dado,orig20
2026-07-06,mediodia,CALCIVET,,dado,orig20
2026-07-06,mediodia,TAURINA,,dado,orig20
2026-07-06,mediodia,FM,,dado,orig20
2026-07-06,mediodia,JUREL,25,no_dado,orig20
2026-07-06,medianoche,PECHUGA,100,dado,orig20
2026-07-06,medianoche,MUSLO,25,dado,orig20
2026-07-06,medianoche,ZAPALLITO,25,dado,orig20
2026-07-06,medianoche,CALCIVET,,dado,orig20
2026-07-06,medianoche,ARROZ,25,dado,orig20
2026-07-07,mediodia,PECHUGA,100,dado,orig20
2026-07-07,mediodia,MUSLO,25,dado,orig20
2026-07-07,mediodia,ARROZ,25,dado,orig20
2026-07-07,mediodia,ZAPALLITO,25,dado,orig20
2026-07-07,mediodia,CALCIVET,,dado,orig20
2026-07-07,mediodia,TAURINA,,dado,orig20
2026-07-07,mediodia,FM,,dado,orig20
2026-07-07,mediodia,JUREL,25,dado,orig20
2026-07-07,medianoche,PECHUGA,100,dado,orig20
2026-07-07,medianoche,MUSLO,25,dado,orig20
2026-07-07,medianoche,ZAPALLITO,25,dado,orig20
2026-07-07,medianoche,CALCIVET,,dado,orig20
2026-07-07,medianoche,ARROZ,25,dado,orig20
2026-07-08,mediodia,PECHUGA,100,dado,orig20
2026-07-08,mediodia,MUSLO,25,dado,orig20
2026-07-08,mediodia,ARROZ,25,dado,orig20
2026-07-08,mediodia,ZAPALLITO,25,dado,orig20
2026-07-08,mediodia,CALCIVET,,dado,orig20
2026-07-08,mediodia,TAURINA,,dado,orig20
2026-07-08,mediodia,FM,,dado,orig20
2026-07-08,mediodia,JUREL,25,no_dado,orig20
2026-07-08,medianoche,PECHUGA,100,dado,orig20
2026-07-08,medianoche,MUSLO,25,dado,orig20
2026-07-08,medianoche,ZAPALLITO,25,dado,orig20
2026-07-08,medianoche,CALCIVET,,dado,orig20
2026-07-08,medianoche,ARROZ,25,dado,orig20
2026-07-09,mediodia,PECHUGA,100,dado,orig20
2026-07-09,mediodia,MUSLO,25,dado,orig20
2026-07-09,mediodia,ARROZ,25,dado,orig20
2026-07-09,mediodia,ZAPALLITO,25,dado,orig20
2026-07-09,mediodia,CALCIVET,,dado,orig20
2026-07-09,mediodia,TAURINA,,dado,orig20
2026-07-09,mediodia,FM,,dado,orig20
2026-07-09,mediodia,JUREL,25,dado,orig20
2026-07-09,medianoche,PECHUGA,100,dado,orig20
2026-07-09,medianoche,MUSLO,25,dado,orig20
2026-07-09,medianoche,ZAPALLITO,25,dado,orig20
2026-07-09,medianoche,CALCIVET,,dado,orig20
2026-07-09,medianoche,ARROZ,25,dado,orig20
2026-07-10,mediodia,PECHUGA,100,dado,orig20
2026-07-10,mediodia,MUSLO,25,dado,orig20
2026-07-10,mediodia,ARROZ,25,dado,orig20
2026-07-10,mediodia,ZAPALLITO,25,dado,orig20
2026-07-10,mediodia,CALCIVET,,dado,orig20
2026-07-10,mediodia,TAURINA,,dado,orig20
2026-07-10,mediodia,FM,,dado,orig20
2026-07-10,mediodia,JUREL,25,no_dado,orig20
2026-07-10,medianoche,PECHUGA,100,dado,orig20
2026-07-10,medianoche,MUSLO,25,dado,orig20
2026-07-10,medianoche,ZAPALLITO,25,dado,orig20
2026-07-10,medianoche,CALCIVET,,dado,orig20
2026-07-10,medianoche,ARROZ,25,no_dado,orig20
2026-07-11,mediodia,PECHUGA,100,dado,orig20
2026-07-11,mediodia,MUSLO,25,dado,orig20
2026-07-11,mediodia,ARROZ,25,dado,orig20
2026-07-11,mediodia,ZAPALLITO,25,dado,orig20
2026-07-11,mediodia,CALCIVET,,dado,orig20
2026-07-11,mediodia,TAURINA,,dado,orig20
2026-07-11,mediodia,FM,,dado,orig20
2026-07-11,mediodia,JUREL,25,dado,orig20
2026-07-11,medianoche,PECHUGA,100,dado,orig20
2026-07-11,medianoche,MUSLO,25,dado,orig20
2026-07-11,medianoche,ZAPALLITO,25,dado,orig20
2026-07-11,medianoche,CALCIVET,,dado,orig20
2026-07-11,medianoche,ARROZ,25,dado,orig20
2026-07-12,mediodia,PECHUGA,100,dado,orig20
2026-07-12,mediodia,MUSLO,25,dado,orig20
2026-07-12,mediodia,ARROZ,25,dado,orig20
2026-07-12,mediodia,ZAPALLITO,25,dado,orig20
2026-07-12,mediodia,CALCIVET,,dado,orig20
2026-07-12,mediodia,TAURINA,,dado,orig20
2026-07-12,mediodia,FM,,dado,orig20
2026-07-12,mediodia,JUREL,25,no_dado,orig20
2026-07-12,medianoche,PECHUGA,100,dado,orig20
2026-07-12,medianoche,MUSLO,25,dado,orig20
2026-07-12,medianoche,ZAPALLITO,25,dado,orig20
2026-07-12,medianoche,CALCIVET,,dado,orig20
2026-07-12,medianoche,ARROZ,25,dado,orig20
2026-07-13,mediodia,PECHUGA,100,dado,orig22
2026-07-13,mediodia,MUSLO,25,dado,orig22
2026-07-13,mediodia,ARROZ,25,dado,orig22
2026-07-13,mediodia,ZAPALLITO,25,dado,orig22
2026-07-13,mediodia,JUREL,25,dado,orig22
2026-07-13,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-13,mediodia,TAURINA,"0,250",dado,orig22
2026-07-13,mediodia,FM,1,dado,orig22
2026-07-13,medianoche,PECHUGA,100,dado,orig22
2026-07-13,medianoche,MUSLO,25,dado,orig22
2026-07-13,medianoche,ARROZ,25,no_dado,orig22
2026-07-13,medianoche,ZAPALLITO,25,dado,orig22
2026-07-13,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-14,mediodia,PECHUGA,100,dado,orig22
2026-07-14,mediodia,MUSLO,25,dado,orig22
2026-07-14,mediodia,ARROZ,25,dado,orig22
2026-07-14,mediodia,ZAPALLITO,25,dado,orig22
2026-07-14,mediodia,JUREL,25,no_dado,orig22
2026-07-14,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-14,mediodia,TAURINA,"0,250",dado,orig22
2026-07-14,mediodia,FM,1,dado,orig22
2026-07-14,medianoche,PECHUGA,100,dado,orig22
2026-07-14,medianoche,MUSLO,25,dado,orig22
2026-07-14,medianoche,ARROZ,25,dado,orig22
2026-07-14,medianoche,ZAPALLITO,25,dado,orig22
2026-07-14,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-15,mediodia,PECHUGA,100,dado,orig22
2026-07-15,mediodia,MUSLO,25,dado,orig22
2026-07-15,mediodia,ARROZ,25,dado,orig22
2026-07-15,mediodia,ZAPALLITO,25,dado,orig22
2026-07-15,mediodia,JUREL,25,dado,orig22
2026-07-15,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-15,mediodia,TAURINA,"0,250",dado,orig22
2026-07-15,mediodia,FM,1,dado,orig22
2026-07-15,medianoche,PECHUGA,100,dado,orig22
2026-07-15,medianoche,MUSLO,25,dado,orig22
2026-07-15,medianoche,ARROZ,25,dado,orig22
2026-07-15,medianoche,ZAPALLITO,25,dado,orig22
2026-07-15,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-16,mediodia,PECHUGA,100,dado,orig22
2026-07-16,mediodia,MUSLO,25,dado,orig22
2026-07-16,mediodia,ARROZ,25,dado,orig22
2026-07-16,mediodia,ZAPALLITO,25,dado,orig22
2026-07-16,mediodia,JUREL,25,no_dado,orig22
2026-07-16,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-16,mediodia,TAURINA,"0,250",dado,orig22
2026-07-16,mediodia,FM,1,dado,orig22
2026-07-16,medianoche,PECHUGA,100,dado,orig22
2026-07-16,medianoche,MUSLO,25,dado,orig22
2026-07-16,medianoche,ARROZ,25,dado,orig22
2026-07-16,medianoche,ZAPALLITO,25,dado,orig22
2026-07-16,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-17,mediodia,PECHUGA,100,dado,orig22
2026-07-17,mediodia,MUSLO,25,dado,orig22
2026-07-17,mediodia,ARROZ,25,dado,orig22
2026-07-17,mediodia,ZAPALLITO,25,dado,orig22
2026-07-17,mediodia,JUREL,25,dado,orig22
2026-07-17,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-17,mediodia,TAURINA,"0,250",dado,orig22
2026-07-17,mediodia,FM,1,dado,orig22
2026-07-17,medianoche,PECHUGA,100,dado,orig22
2026-07-17,medianoche,MUSLO,25,dado,orig22
2026-07-17,medianoche,ARROZ,25,dado,orig22
2026-07-17,medianoche,ZAPALLITO,25,dado,orig22
2026-07-17,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-18,mediodia,PECHUGA,100,dado,orig22
2026-07-18,mediodia,MUSLO,25,dado,orig22
2026-07-18,mediodia,ARROZ,25,dado,orig22
2026-07-18,mediodia,ZAPALLITO,25,dado,orig22
2026-07-18,mediodia,JUREL,25,no_dado,orig22
2026-07-18,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-18,mediodia,TAURINA,"0,250",dado,orig22
2026-07-18,mediodia,FM,1,dado,orig22
2026-07-18,medianoche,PECHUGA,100,dado,orig22
2026-07-18,medianoche,MUSLO,25,dado,orig22
2026-07-18,medianoche,ARROZ,25,dado,orig22
2026-07-18,medianoche,ZAPALLITO,25,dado,orig22
2026-07-18,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-19,mediodia,PECHUGA,100,dado,orig22
2026-07-19,mediodia,MUSLO,25,dado,orig22
2026-07-19,mediodia,ARROZ,25,dado,orig22
2026-07-19,mediodia,ZAPALLITO,25,dado,orig22
2026-07-19,mediodia,JUREL,25,dado,orig22
2026-07-19,mediodia,CALCIVET,"0,5",dado,orig22
2026-07-19,mediodia,TAURINA,"0,250",dado,orig22
2026-07-19,mediodia,FM,1,dado,orig22
2026-07-19,medianoche,PECHUGA,100,dado,orig22
2026-07-19,medianoche,MUSLO,25,dado,orig22
2026-07-19,medianoche,ARROZ,25,dado,orig22
2026-07-19,medianoche,ZAPALLITO,25,dado,orig22
2026-07-19,medianoche,CALCIVET,"0,5",dado,orig22
2026-07-20,mediodia,PECHUGA,100,dado,orig24
2026-07-20,mediodia,MUSLO,25,dado,orig24
2026-07-20,mediodia,ZAPALLITO,25,dado,orig24
2026-07-20,mediodia,ARROZ,25,dado,orig24
2026-07-20,mediodia,JUREL,25,no_dado,orig24
2026-07-20,mediodia,CALCIVET,"0,5",dado,orig24
2026-07-20,mediodia,TAURINA,"0,25",dado,orig24
2026-07-20,mediodia,FM,1,dado,orig24
2026-07-20,medianoche,PECHUGA,100,dado,orig24
2026-07-20,medianoche,MUSLO,25,dado,orig24
2026-07-20,medianoche,ZAPALLITO,25,dado,orig24
2026-07-20,medianoche,ARROZ,25,dado,orig24
2026-07-20,medianoche,CALCIVET,"0,5",dado,orig24
2026-07-21,mediodia,PECHUGA,100,dado,orig24
2026-07-21,mediodia,MUSLO,25,dado,orig24
2026-07-21,mediodia,ZAPALLITO,25,dado,orig24
2026-07-21,mediodia,ARROZ,25,dado,orig24
2026-07-21,mediodia,JUREL,25,dado,orig24
2026-07-21,mediodia,CALCIVET,"0,5",dado,orig24
2026-07-21,mediodia,TAURINA,"0,25",dado,orig24
2026-07-21,mediodia,FM,1,dado,orig24
2026-07-21,medianoche,PECHUGA,100,dado,orig24
2026-07-21,medianoche,MUSLO,25,dado,orig24
2026-07-21,medianoche,ZAPALLITO,25,dado,orig24
2026-07-21,medianoche,ARROZ,25,dado,orig24
2026-07-21,medianoche,CALCIVET,"0,5",dado,orig24
2026-07-22,mediodia,PECHUGA,100,dado,orig24
2026-07-22,mediodia,MUSLO,25,dado,orig24
2026-07-22,mediodia,ZAPALLITO,25,dado,orig24
2026-07-22,mediodia,ARROZ,25,dado,orig24
2026-07-22,mediodia,JUREL,25,no_dado,orig24
2026-07-22,mediodia,CALCIVET,"0,5",dado,orig24
2026-07-22,mediodia,TAURINA,"0,25",dado,orig24
2026-07-22,mediodia,FM,1,dado,orig24
2026-07-22,medianoche,PECHUGA,100,dado,orig24
2026-07-22,medianoche,MUSLO,25,dado,orig24
2026-07-22,medianoche,ZAPALLITO,25,dado,orig24
2026-07-22,medianoche,ARROZ,25,dado,orig24
2026-07-22,medianoche,CALCIVET,"0,5",dado,orig24
2026-07-23,mediodia,PECHUGA,100,dado,orig24
2026-07-23,mediodia,MUSLO,25,dado,orig24
2026-07-23,mediodia,ZAPALLITO,25,dado,orig24
2026-07-23,mediodia,ARROZ,25,dado,orig24
2026-07-23,mediodia,JUREL,25,dado,orig24
2026-07-23,mediodia,CALCIVET,"0,5",dado,orig24
2026-07-23,mediodia,TAURINA,"0,25",dado,orig24
2026-07-23,mediodia,FM,1,dado,orig24
2026-07-23,medianoche,PECHUGA,100,dado,orig24
2026-07-23,medianoche,MUSLO,25,dado,orig24
2026-07-23,medianoche,ZAPALLITO,25,dado,orig24
